wb1_spectrum,wb1_wintel_fit,wb1_wintel_base,wb1_frequency
-41.0162626,-41.05726673,-35.1934722,2349.293031
-41.33962585,-41.40659279,-35.38556419,2349.293679
-41.92944155,-41.77477485,-35.57777301,2349.294327
-42.29794959,-42.16411248,-35.77009797,2349.294974
-42.57502306,-42.57732135,-35.96253841,2349.295621
-42.97235181,-43.01762596,-36.15509363,2349.296268
-43.49428674,-43.48884924,-36.34776298,2349.296914
-43.95536343,-43.99554161,-36.54054575,2349.29756
-44.47474669,-44.54314719,-36.73344129,2349.298206
-45.16605095,-45.13818799,-36.9264489,2349.298851
-45.81501287,-45.78850882,-37.11956792,2349.299495
-46.43343118,-46.50358645,-37.31279766,2349.300139
-47.2202374,-47.29489812,-37.50613745,2349.300783
-48.22389131,-48.17640081,-37.6995866,2349.301425
-49.18896496,-49.16506657,-37.89314445,2349.302068
-50.20278191,-50.28149939,-38.0868103,2349.30271
-51.58591384,-51.55055592,-38.28058349,2349.303351
-53.13779353,-53.00188731,-38.47446334,2349.303992
-54.65991473,-54.67012715,-38.66844916,2349.304632
-56.48958759,-56.59439579,-38.86254028,2349.305272
-58.76134144,-58.81629684,-39.05673602,2349.305912
-61.31012513,-61.37568773,-39.25103571,2349.306551
-64.09868877,-64.30308304,-39.44543866,2349.30719
-67.41582821,-67.60811086,-39.63994419,2349.307828
-71.30943618,-71.26440546,-39.83455164,2349.308466
-75.27596282,-75.19357757,-40.02926032,2349.309104
-79.28858295,-79.25272051,-40.22406955,2349.309742
-83.43149053,-83.23228057,-40.41897865,2349.31038
-87.2934099,-86.86956448,-40.61398695,2349.311017
-90.4142349,-89.87955858,-40.80909377,2349.311654
-92.66318734,-91.99889551,-41.00429843,2349.312291
-93.84773668,-93.03244461,-41.19960025,2349.312928
-93.54437236,-92.89077146,-41.39499856,2349.313564
-91.91830908,-91.60808971,-41.59049267,2349.314201
-89.36952538,-89.33564496,-41.78608191,2349.314837
-86.04472006,-86.31216157,-41.9817656,2349.315473
-82.25504326,-82.81968212,-42.17754306,2349.31611
-78.50427387,-79.13660075,-42.37341362,2349.316745
-74.8818291,-75.49980387,-42.56937659,2349.317381
-71.39269235,-72.08296707,-42.7654313,2349.318016
-68.2849419,-68.99220361,-42.96157707,2349.318651
-65.63772292,-66.27492271,-43.15781322,2349.319286
-63.45544083,-63.93504672,-43.35413908,2349.319921
-61.46832821,-61.94918724,-43.55055396,2349.320555
-59.85452163,-60.28004686,-43.74705719,2349.321189
-58.6221995,-58.88575326,-43.94364808,2349.321822
-57.52763443,-57.72546296,-44.14032597,2349.322455
-56.4285985,-56.76223641,-44.33709017,2349.323088
-55.62327637,-55.96406896,-44.53394001,2349.32372
-55.12672721,-55.30394659,-44.7308748,2349.324352
-54.60414891,-54.75938843,-44.92789388,2349.324983
-54.07352306,-54.31180651,-45.12499655,2349.325614
-53.74295191,-53.94590328,-45.32218215,2349.326244
-53.49809045,-53.64909899,-45.51944999,2349.326874
-53.17261173,-53.41103101,-45.71679939,2349.327504
-52.94253683,-53.22313036,-45.91422969,2349.328133
-52.89632338,-53.07829871,-46.1117402,2349.328762
-52.85919342,-52.97062192,-46.30933023,2349.32939
-52.6934335,-52.89514627,-46.50699913,2349.330019
-52.64513729,-52.8477132,-46.7047462,2349.330647
-52.75200179,-52.82481152,-46.90257077,2349.331275
-52.75818466,-52.82346296,-47.10047215,2349.331902
-52.6852769,-52.84113239,-47.29844968,2349.33253
-52.72752109,-52.87564944,-47.49650268,2349.333157
-52.8418552,-52.92515555,-47.69463046,2349.333784
-52.81272917,-52.98804596,-47.89283234,2349.334412
-52.82806096,-53.06293334,-48.09110766,2349.335039
-53.06024044,-53.14861765,-48.28945573,2349.335666
-53.26455881,-53.24405216,-48.48787587,2349.336293
-53.28370719,-53.34832357,-48.68636741,2349.336921
-53.28179889,-53.46063468,-48.88492967,2349.337548
-53.45752556,-53.58028726,-49.08356196,2349.338175
-53.58133572,-53.70667019,-49.28226362,2349.338803
-53.66375224,-53.83924489,-49.48103396,2349.33943
-53.86085181,-53.97753654,-49.6798723,2349.340058
-54.0805892,-54.12112569,-49.87877797,2349.340686
-54.14284323,-54.26964136,-50.07775029,2349.341313
-54.20080086,-54.42275582,-50.27678858,2349.341941
-54.45231409,-54.58017974,-50.47589217,2349.342569
-54.65436432,-54.74165817,-50.67506037,2349.343197
-54.74483929,-54.90696623,-50.8742925,2349.343824
-54.93450197,-55.07590692,-51.0735879,2349.344452
-55.25970808,-55.24830869,-51.27294587,2349.34508
-55.45107186,-55.42402204,-51.47236575,2349.345707
-55.52363068,-55.60291868,-51.67184685,2349.346335
-55.67664319,-55.78489023,-51.8713885,2349.346962
