AnalyticalID,Date,StartTime,Time,Name,Xp626_L2_mean,Xp626_L2_std,mismatch_Xp626_L2,std_mismatch_Xp626_L2,Praw_mean,Praw_std,mismatch_Praw,std_mismatch_Praw,Traw_mean,Traw_std,mismatch_Traw,std_mismatch_Traw,cycle_n,outliers,dp13C_L1_raw_mean,dp13C_L1_raw_std,dp18O_L1_raw_mean,dp18O_L1_raw_std,dp18O_L2_raw_mean,dp18O_L2_raw_std,dp17O_L2_raw_mean,dp17O_L2_raw_std,Dp17O_raw_mean,Dp17O_raw_std,Dp17O_corr
NBS18-17,13-Feb-23,9:17:00,9:17:29,230213_091729,406449.6454,511.2084445,-10786.3147,463.0111758,28.11989715,0.044116625,-0.08113451,0.050321825,296.8369879,0.00306182,5.33E-05,0.001136723,16,0,35.30895076,0.048024279,7.177076838,0.033064278,6.656878335,0.122937974,3.529041814,0.046947489,0.014210054,0.033750739,-0.06884457
NBS18-18,14-Feb-23,9:45:00,9:45:41,230214_094541,402951.6656,574.9015071,-13785.91634,550.4425078,28.20402911,0.03507072,-0.059806274,0.06275781,296.8365483,0.004374928,-0.000317463,0.001195038,18,0,35.277616,0.051317182,7.209158417,0.045803921,6.70493905,0.141799063,3.618110357,0.089461791,0.077902538,0.055140429,-0.028249017
NBS18-19,16-Feb-23,11:30:00,11:30:19,230216_113019,404446.374,561.7939908,-12489.87827,501.7625271,28.1063921,0.045698355,-0.063422439,0.049763046,296.8149788,0.002268021,-0.000687729,0.000988409,15,0,35.2730444,0.067416159,7.766084253,0.069325555,7.391528563,0.070219152,3.988543273,0.078904875,0.085816192,0.046786427,-0.010355871
NBS18-20,20-Feb-23,16:51:00,16:51:30,230220_165130,412733.4777,650.4160446,-4365.560339,576.2508042,28.09525126,0.052955819,-0.077867701,0.043990016,296.8575582,0.012172349,-0.002209853,0.001825297,17,0,35.28417992,0.069328281,7.396750835,0.04890448,7.253123126,0.122857711,3.845192335,0.116569281,0.015543325,0.071107868,-0.01807149
NBS18-21,27-Feb-23,16:27:00,16:27:09,230227_162709,400778.9953,1055.732721,-15835.02738,1006.499451,27.89373224,0.046232788,-0.081797199,0.036694087,297.0012737,0.039213856,-0.006608952,0.001651067,20,0,35.29414634,0.032409881,7.216796374,0.057324042,6.73485799,0.079864108,3.654141404,0.094431199,0.098136386,0.068294062,-0.023793325
NBS18-22,28-Feb-23,9:27:00,9:27:10,230228_092710,392819.4689,861.1824735,-23211.34899,683.1380761,28.09365894,0.060409825,-0.094827792,0.061608271,296.8653068,0.026780478,-0.004302314,0.001136281,21,0,35.14357312,0.055656252,7.218161848,0.117059737,6.633668515,0.149816239,3.669827255,0.074601512,0.167250279,0.078245729,-0.011477108
NBS18-23,3-Mar-23,12:43:00,12:43:29,230303_124329,392990.7297,1542.942586,-24408.68867,1495.674508,27.94682925,0.046635361,-0.073406772,0.040642386,296.7865385,0.035717374,-0.005803983,0.001574405,21,0,35.25654031,0.022026596,7.24995405,0.095661706,6.745840625,0.052504038,3.722932186,0.093964377,0.161128336,0.074339524,-0.026818567
NBS18-24,6-Mar-23,11:54:00,11:54:23,230306_115423,393633.8028,720.0339643,-22991.88077,666.9154497,28.00435046,0.06276376,-0.068557216,0.060883392,296.8662602,0.022719111,-0.003706911,0.001354022,18,2,35.19121069,0.069145071,6.944695184,0.058733076,6.423732058,0.068284216,3.573937283,0.076594793,0.182206757,0.050044289,0.005169275
NBS18-26,8-Mar-23,10:41:00,10:41:44,230308_104144,404475.423,511.7370346,-12252.15648,465.6791958,28.07310528,0.043381289,-0.064652789,0.040568191,296.7243427,0.010104173,-0.002162327,0.001118496,17,0,35.28388651,0.069697344,7.377310723,0.048137865,7.106641724,0.0375309,3.850076433,0.108949258,0.097769603,0.093277139,0.003427998
NBS18-27,8-Mar-23,21:49:00,21:49:00,230308_214900,397433.1237,698.2056788,-19271.21148,671.7775869,28.05648772,0.044566363,-0.075910152,0.068222081,296.7812409,0.007262545,0.001548351,0.000976093,18,1,35.34058642,0.060966939,6.940022435,0.054700761,6.533138277,0.059610478,3.580216466,0.063433007,0.130719456,0.036914573,-0.017668873
NBS18-31,20-Mar-23,9:06:00,9:05:59,230320_090559,401559.2979,1027.179537,-15326.71985,880.2131694,28.10794322,0.070036141,-0.061591819,0.06911982,296.7517807,0.012739573,-0.002164163,0.000643924,23,0,35.27844632,0.124393606,7.043221438,0.069631304,6.747379825,0.037416771,3.673979146,0.037687028,0.111362598,0.03511403,-0.006653145
